item_id,item_name,,item_alternate_name,is_approved
249,Makedoniko Naeteal (Macedonian Natal),,,
250,Malabari Kozhi Curry Masala,,,
251,Mamri Ctc Assam Teas,,,
252,Mandarin,,,
253,Mango Green,,"Cr�me Biscuits, Cr�me Filled Cookies, Cookies, Biscuits, Kukk_kal, Bisketi",
254,Mango Hayden,,,
255,Mango Kent,,"Wafers, Chocolate, Cetilka_, Poralu, Billega_u, Hazelnut, Chocolate Wafer, Cream Wafer",
256,Mango Khatta Mitha,,,
257,Mango Manilla,,,
258,Marie Gold Biscuit,,,
259,Marie Gold Petit Beurre,,,
260,Marie Gold Petit Beurre Tea Biscuits,,,
261,Masala Bhungra,,,
262,Masala Chickpeas,,,
263,Masala Cuppa Noodles,,,
264,Masala Instant Noodles,,,
265,Masala Oats Veggie Twist,,,
266,Masoor Dal,,,
267,Masoor Malka,,,
268,Matar Safed,,,
269,Meat Masala,,,
270,Methi Puri,,,
271,Milk Bikis Family Pack,,"Caneberry,Fruit,Berries",
272,Milk Bikis Milk Flavoured Sandwich Biscuits,,"Carabao mango, Philippine mango,Mango",
273,Milk Caramel Flavoured Premium Cream Wafers,,"Carabao mango, Philippine mango,Mango",
274,Milk Rusk,,"Mango,Totapuri,Aam",
275,Momo masala,,"Mango,Totapuri,Aam",
276,Moong Chilka,,"Haden,Aam,Mango,Hayden",
277,Moong Dal,,"Haden,Aam,Mango,Hayden",
278,Morning Tea Toast,,"Apples,Gala,Red",
279,Moth Sabut,,"Apples,Gala,Red",
280,Mushroom,,"Apples,Red,Fuji",
281,Mustard Saag,,"Apples,Red,Fuji",
282,Mutton Biryani Masala,,"Red,Gala,Apple",
283,Mutton Masala,,"Red,Gala,Apple",
284,Nectarine Red,,"apple, appil, seb, red, epal, sapharchand, safarjan, sebu, tarel",
285,Nectarine Yellow,,"apple, appil, seb, red, epal, sapharchand, safarjan, sebu, tarel",
286,Nice Time Coconut Biscuits,,Apricots,
287,Nihari Masala,,"Grapes,Fruits",
288,No Sugar Added Cake Rusk,,"banana, bannana, kela, kele, seb, epal, pazham, aappil, plantain, bale, hannu, vazha, pazham, champa, kadali, arati, pandu",
289,Nutri Choice 5 Grain Biscuits,,"Grapes,Black,angoor",
290,Oat Crunch,,"Berries,Blue,Vaccinium",
291,Oats,,"Rockmelon, sweet melon, spanspek,melon,muskmelons",
292,Okra Indian,,"Stone Fruit, dwarf cherries,tart cherries",
293,Okra Regular,,"orange, lemon, grapefruit,limes,pomelons",
294,Onion Red,,"Pitaya, pitahaya,strawberry pear,Kamalam",
295,Onion White,,"Copra,Coconut,Naryal,",
296,Orange Big,,"Phalsa,Blueberry,Grewia asiatica",
297,Orange Cuties,,Figs,
298,Orange Small,,"kachcha, coconut, nariyal, naaral, naral, narkel, thengini, kai, narjeel, thenga, nadiya, nadia, gola, kobbari, shala, ilam, tenna, komala, narikela, llaneer, tengina",
299,Oreo Golden,,"Dates,Palm dates,Medjool,Khajoor,Karjur,Karjoora",
300,Organic Cherry Tomato,,"Amla,gooseberry,nallikai",
301,Organic Ginger,,"Green,Grapes,angoor",
302,Organic Grape Tomato,,"Green,Mango,Kaccha aam,Aam",
303,Organic Mango Box,,"Guava,amarood",
304,Organic Mango Manilla,,"Papaya, Kapoho,Solo,Kamiya",
305,Original Pyramid Tea Bags,,"White Antibes, Wallace melon, Balian melon, Temptation melon, Chindire,Hmazli,kharabooza",
306,Paan Leaves,,"jack tree,kathal,kanun,nangka,jaca, kothaal, chakka, phanas,ponos, halasa",
307,Pakistani Mango,,"Gir Kesar mango,mango,aam",
308,Pani Puri,,"Gir Kesar mango,mango,aam",
309,Pani Puri Masala,,"Lime,nimboo",
310,Papaya,,"Kiwifruit,Chinese gooseberry",
311,Parle G Gold Biscut,,"litchi, lichi,lychee",
312,Parle G Gold Biscuts,,"orange,Mandarine,mandarin orange,Tangerine",
313,Parle-G Original Gluco Biscuits,,Prunus persica,
314,Parsley,,"Nectarines,Yellow",
315,Parval,,"naranja,santara,orange",
316,Patiala Mutton Masla,,"naranja,santara,orange",
317,Pav Bhaji Masala,,"Clementines,mandarin,Orange",
318,Paya Masala,,"Mango,aam,Alphonsos, Badami, Chausa, Langra, Neelum, Aamrpali, Malda, Banganapalli and Dasheri",
319,Peach Red,,"Mango,aam,Alphonsos, Badami, Chausa, Langra, Neelum, Aamrpali, Malda, Banganapalli and Dasheri",
320,Peach Yellow,,"Carabao mango, Philippine mango,Mango",
321,Peanut Black Pepper,,"Carabao mango, Philippine mango,Mango",
322,Peanut Classic Salted,,"Chaunsa,Mango,aam,Fajri, Banganpalli, White Chaunsa, Rattewala,Anwar Ratol",
323,Peanut Hing Jeera,,"Chaunsa,Mango,aam,Fajri, Banganpalli, White Chaunsa, Rattewala,Anwar Ratol",
324,Pear,,"Papaya, papaw,pawpaw,parangi",
325,Pear Red,,"Vineyard Peaches,Blood Peaches,Peaches,Aadoo",
326,Pearl Red Onion,,"Peach,Aadoo",
